time,open,high,low,close,MA,Volume,Volume MA,Histogram,MACD,Signal
1620950400,49675.2,51540,48886,49899,54751.49999999998,5356.82052671,5123.220277866991,-724.0535338080892,-1110.1472416651523,-386.09370785706295
1621036800,49899,50827.3,46600,46771.1,53679.27777777777,5671.80945969,5144.8464579949905,-969.7415338984642,-1598.2706252301432,-628.529091331679
1621123200,46761,49828.8,43824.3,46482.4,52468.099999999984,8208.34279043,5218.800838564491,-1085.592538752849,-1985.51976477274,-899.9272260198911
1621209600,46474.7,46648.5,42111.2,43551.8,50756.76666666665,11237.71585193,5619.995359842491,-1280.1167302960073,-2500.0731388899003,-1219.956408593893
1621296000,43551.9,45823.4,42297.9,42895.2,49045.88888888887,7804.85576005,5826.294386008491,-1365.7154590553996,-2927.1007324131424,-1561.3852733577428
1621382400,42898.4,43562,29800,36742.3,46918.57777777777,31855.98081823,7192.70449197449,-1726.2028750260663,-3719.1388671403256,-1992.9359921142593
1621468800,36765.2,42559.8,35000,40614.6,45126.03333333332,14118.44902267,7657.785733571989,-1596.3686398075497,-3988.396791873696,-2392.0281520661465
1621555200,40609.6,42270.6,33533.9,37331.7,43773.69999999998,16996.84210584,8373.24184806849,-1619.0061189894723,-4415.785800802987,-2796.779681813515
1621641600,37329.1,38841.7,35250.2,37468.3,42417.37777777776,9118.92396811,8710.60278742799,-1514.1086769633016,-4689.415528017642,-3175.3068510543403
1621728000,37474.8,38269.7,31078.7,34718.8,40730.68888888887,14832.73851506,9254.29756737999,-1515.5069139283833,-5069.690493464819,-3554.183579536436
1621814400,34718.8,39989.9,34420.8,38833.8,39848.76666666664,11050.98657417,9515.27121388649,-1141.9254252147648,-4981.590361054892,-3839.6649358401273
1621900800,38843,39841.8,36500,38388.1,38949.39999999999,9236.12557708,9728.48818475299,-841.3482083041154,-4891.350196220272,-4050.0019879161564
1621987200,38373.3,40893.6,37828.7,39283.9,38475.18888888887,9203.32477178,9998.05018193449,-514.7564102571978,-4693.447500737653,-4178.691090480455
1622073600,39290,40398,37230,38516.4,37988.655555555546,5898.0065665,10068.49128280299,-293.95434470565397,-4546.134021362523,-4252.179676656869
1622160000,38537.1,38872,34719,35683.9,37871.05555555554,9021.54750598,10303.623393189491,-282.14753749987904,-4604.864098531718,-4322.716561031839
1622246400,35683.8,37300,33652.8,34616.6,37204.611111111095,5845.40830971,10381.898381471492,-288.6598301763197,-4683.541348752238,-4394.881518575919
1622332800,34631.9,36491,33423.2,35673.8,37020.39999999999,4455.06304471,10276.704083527491,-170.07425369235898,-4607.474335691368,-4437.400081999009
1622419200,35667.9,37512.8,34200,37303.8,37002.122222222206,6224.60594186,10397.117188758992,57.64618322162278,-4365.34235297198,-4422.988536193603
1622505600,37273.1,37934.3,35748,36676.3,37219.622222222206,5702.86612888,10259.14058810499,197.6329913857744,-4175.947296961385,-4373.58028834716
1622592000,36676.4,38209.2,35929.2,37565.3,37078.67777777776,6148.67978991,9899.454651464992,371.6207625462539,-3909.054335164343,-4280.675097710597
1622678400,37565.3,39471,37159.1,39196.6,37168.5111111111,5226.12100922,9892.91967559049,604.323805102169,-3525.2703413328854,-4129.594146435054
1622764800,39212.3,39249.8,35576.7,36847.7,36897.82222222221,4991.5174428,9858.90507474599,606.2453225295585,-3371.7874932731065,-3978.032815802665
1622851200,36857.6,37935.8,34825.9,35534.6,36566.511111111104,5532.75325986,9725.12559821749,528.137302330274,-3317.8611878898228,-3845.9984902200968
1622937600,35532.2,36479.5,35251.1,35789,36578.18888888888,3187.54640121,9322.61712568149,502.79332615358953,-3217.50683252811,-3720.3001586816995
1623024000,35783.2,36796.3,33334.3,33587.6,36463.85555555554,6165.92045486,9240.670360421991,353.98001717264015,-3277.8251372158993,-3631.8051543885394
1623110400,33578.6,34059.4,31017.4,33420,36213.43333333332,10548.3269432,8175.287666670491,264.56513455798404,-3301.0987361910593,-3565.6638707490433
1623196800,33409.7,37500,32420.4,37396.4,36223.72222222222,9354.95083487,7937.112757280489,480.92471215144724,-2964.5079805597343,-3445.4326927111815
1623283200,37398.9,38399,35803.7,36678.4,36223.95555555555,7724.33788718,7473.487546347489,576.9141052672626,-2724.2900611271034,-3301.204166394366
1623369600,36684.5,37654.3,35952.7,37322.2,36196.94444444443,5210.31614303,7278.057155093489,678.017866751667,-2453.6818329547823,-3131.6996997064493
1623456000,37322.2,37449.5,34680,35544.9,35791.19999999999,5622.17147845,6817.528803262989,620.9729032684704,-2355.4835706208614,-2976.456473889332
1623542400,35544.9,39409.4,34801,39034.6,36034.188888888886,6770.84628744,6603.5217889264895,802.5060865448327,-1973.3238657082911,-2775.829952253124
1623628800,39035.7,41068.9,38734.1,40530.8,36589.32222222221,9383.6892931,6610.899974727489,995.0095742245617,-1532.0679844724218,-2527.0775586969835
1623715200,40529.1,41341.8,39461.1,40166.6,37075.72222222221,6917.67193047,6496.617332661989,1063.3034753973193,-1197.9482144503345,-2261.251689847654
1623801600,40167.3,40493,38120,38337.1,37603.44444444443,6485.36065466,6525.98503706999,954.2296284406507,-1068.4646542968403,-2022.694282737491
1623888000,38337.1,39561.4,37405,38078.2,38121.02222222221,5998.8277368,6374.8490486109895,837.7600848822008,-975.4941766347401,-1813.254261516941
1623974400,38078.2,38193.1,35126,35824,37946.3111111111,6558.4688904,6410.50207764549,593.5157785920692,-1071.3595382768544,-1664.8753168689236
1624060800,35824,36450,34901,35490.5,37814.32222222221,4485.07665571,6412.002758195491,403.21026093980913,-1160.8624906941623,-1564.0727516339714
1624147200,35484.2,36112.2,33370,35595,37622.4111111111,6286.3064383,6415.08778301749,283.7217997444759,-1209.4205019533765,-1493.1423016978524
1624233600,35595.7,35750.8,31260,31655.2,37190.22222222221,11395.95989903,6699.74247152499,-43.86055698725909,-1547.9679979319262,-1504.1074409446671
1624320000,31620.6,33290,28816.6,32516.2,36465.95555555554,16188.93102211,7201.755033134989,-178.22392001116486,-1726.887340958623,-1548.6634209474582
1624406400,32516.5,34879.4,32402.3,33683.3,35705.122222222206,6268.26459436,7253.8622123919895,-164.49701627903823,-1754.284691296256,-1589.7876750172177
1624492800,33685.8,35311.2,32333,34666.6,35094.0111111111,4814.3243243,7245.0025564669895,-70.02435394098029,-1677.318117443443,-1607.2937635024628
1624579200,34669.6,35509.1,31278.3,31583.7,34343.633333333324,6444.51119144,7290.590453045988,-189.230012430741,-1843.831279040889,-1654.601266610148
1624665600,31577.3,32691.1,30179,32277,33699.05555555554,5160.37265399,7389.231765684987,-194.696589598459,-1897.9720036082217,-1703.2754140097627
1624752000,32275.9,34700,32025,34675.3,33571.422222222216,4214.10806148,7291.641146015987,-19.334277357590054,-1727.4432607067502,-1708.10898334916
1624838400,34700,35288.1,33872.6,34472,33458.255555555545,3680.10739483,6948.230168597487,94.19132988767478,-1590.3698209895665,-1684.5611508772413
1624924800,34475.9,36643.2,34268,35903.3,33492.51111111111,4467.51532235,6703.858392971488,267.10936067637476,-1350.6744500317727,-1617.7838107081475
1625011200,35876.6,36090.7,34066,35046.2,33869.288888888885,5221.02360866,6578.692679045487,321.5396248682107,-1215.859279622884,-1537.3989044910948
1625097600,35070.4,35070.4,32717.2,33532.4,33982.2,4018.47695597,6519.100719692488,256.20881438103015,-1217.1378865148072,-1473.3467008958373
1625184000,33513.6,34000,32721.4,33802.9,33995.48888888888,2758.0514738,6375.894719459988,232.52473731856844,-1182.6907792476268,-1415.2155165661952
1625270400,33802.8,34930,33348.9,34685.4,33997.57777777777,2772.05699173,6175.955254674488,274.71202373625556,-1071.8254868958757,-1346.5375106321312
1625356800,34685.3,35948.9,34381.1,35305,34411.05555555555,1575.85747848,5785.563663943488,338.5708892894395,-923.3238990203317,-1261.8947883097712
1625443200,35305.1,35305.1,33080.3,33697.6,34568.899999999994,3947.92736985,5637.076435912489,269.7718846779487,-924.6799324623353,-1194.451817140284
1625529600,33700.1,35113.4,33555,34235,34519.97777777777,2949.24908488,5460.2708574234875,257.6933152256611,-872.3351731082075,-1130.0284883338686
1625616000,34215.4,35065.4,33825.5,33885.1,34454.766666666656,3121.11041176,5316.384991171488,224.58644594649127,-849.2954309007546,-1073.8818768472458
1625702400,33885.1,33946.8,32112.6,32882.2,34119.08888888887,5379.87658215,5257.455375758987,137.85015010341112,-901.5691892179821,-1039.4193393213932
1625788800,32878.4,34088,32273.3,33791,33979.62222222221,2699.30888779,5168.166987362988,143.7328681616691,-859.7532541193068,-1003.4861222809759
1625875200,33820.7,34252.8,32968.2,33522.2,33978.48888888888,2916.1599983,4999.659665362988,131.8797308110734,-838.6364587671342,-970.5161895782076
1625961600,33516.5,34612.1,33335.1,34246.9,34027.82222222221,1476.82314333,4503.702827577988,172.63373235692848,-754.7240241320469,-927.3577564889754
1626048000,34246.9,34665.7,32678,33107.3,33852.47777777776,2411.81951801,3814.847252372988,124.85573943808902,-771.2880821913641,-896.1438216294531
1626134400,33101.8,33340.7,32204,32722.9,33565.57777777776,2830.18281021,3642.943163165487,72.00273710591523,-806.140400247059,-878.1431373529742
1626220800,32722.9,33114.5,31555.6,32815.2,33467.53333333332,3399.48757223,3572.2013255619872,48.997230449793506,-816.8965992907324,-865.8938297405259
1626307200,32815.2,33188.3,31150.1,31832.6,33200.599999999984,3346.7163512,3417.311583549987,-22.8037389218631,-894.3985033928548,-871.5947644709917
1626393600,31868.5,32250,31050,31405.9,32925.133333333324,3545.77002185,3336.581451942987,-85.89661988852072,-978.9655393316425,-893.0689194431218
1626480000,31405.9,31934.4,31175.2,31510,32772.66666666666,2493.57716534,3250.554907135987,-106.15381494406881,-1025.7611881232078,-919.607373179139
1626566400,31503.3,32440.4,31133.4,31780.1,32549.233333333323,1750.63805531,3154.081440159987,-87.66483808673615,-1029.1884207875592,-941.523582700823
1626652800,31783.9,31894.6,30415.1,30820.5,32249.044444444433,3015.01589352,3081.456468718487,-124.13650932875373,-1096.6942193617651,-972.5577100330114
1626739200,30827.2,31065.9,29288.6,29788.1,31753.622222222213,4981.12477971,3069.461527270987,-197.5075384725967,-1219.4421331237572,-1021.9345946511605
1626825600,29788.1,32844.4,29505,32125,31644.47777777777,5660.08802763,3151.542080853987,-74.68912536964899,-1115.2960013632219,-1040.6068759935729
1626912000,32125,32607.9,31722.4,32283.3,31595.63333333332,2665.92697389,3146.9358558584872,25.79575438142888,-1008.3621830167867,-1034.1579373982156
1626998400,32283.3,33639,32015.1,33639,31687.166666666653,2340.25370689,3125.345691616487,183.37130157314732,-804.9438104317815,-988.3151120049288
